numbre CCs detected (background including): 168
Component_36 =>Avion 110.018 | Cercle 8.80923 | Demi Cercle 34.4052 | double fleche 107.518 | fleche 53.1177 | Rectangle 3D 87.3223 | Rectangle H 18.9342 | Rectangle V 115.358 | Rectangle V Empty 17.0164 | Symbole 1 30.9236 | Symbole 2 41.0825 | Symbole 3 2.18325 | Symbole 4 7.09209 | Symbole 5 111.068 | Symbole 6 109.301 |  => 2.18325 => Symbole 3
Component_37 =>Avion 72.7804 | Cercle 8.50882 | Demi Cercle 8.7518 | double fleche 69.2759 | fleche 17.0048 | Rectangle 3D 51.4668 | Rectangle H 0 | Rectangle V 78.1537 | Rectangle V Empty 24.836 | Symbole 1 69.1879 | Symbole 2 76.0633 | Symbole 3 42.2102 | Symbole 4 17.2657 | Symbole 5 74.7333 | Symbole 6 73.6136 |  => 0 => Rectangle H
Component_38 =>Avion 56.8745 | Cercle 2.41968 | Demi Cercle 14.1532 | double fleche 54.587 | fleche 8.63636 | Rectangle 3D 34.7634 | Rectangle H 21.804 | Rectangle V 60.5421 | Rectangle V Empty 43.0758 | Symbole 1 60.5421 | Symbole 2 60.5421 | Symbole 3 60.4416 | Symbole 4 34.2509 | Symbole 5 58.4095 | Symbole 6 56.208 |  => 2.41968 => Cercle
Component_39 =>Avion 56.208 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_40 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_41 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_42 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_43 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_44 =>Avion 254.459 | Cercle 105.46 | Demi Cercle 179.571 | double fleche 251.376 | fleche 198.184 | Rectangle 3D 232.179 | Rectangle H 162.909 | Rectangle V 259.645 | Rectangle V Empty 2.42129 | Symbole 1 103.76 | Symbole 2 106.924 | Symbole 3 107.104 | Symbole 4 152.138 | Symbole 5 256.164 | Symbole 6 254.371 |  => 2.42129 => Rectangle V Empty
Component_45 =>Avion 254.371 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_46 =>Avion 254.391 | Cercle 104.927 | Demi Cercle 179.721 | double fleche 251.251 | fleche 198.31 | Rectangle 3D 232.377 | Rectangle H 162.49 | Rectangle V 259.236 | Rectangle V Empty 2.06682 | Symbole 1 103.209 | Symbole 2 106.711 | Symbole 3 107.142 | Symbole 4 152.107 | Symbole 5 255.44 | Symbole 6 254.571 |  => 2.06682 => Rectangle V Empty
Component_47 =>Avion 254.571 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
Component_48 =>Avion 255.678 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751288 | Symbole 1 104.491 | Symbole 2 107.993 | Symbole 3 108.443 | Symbole 4 153.414 | Symbole 5 256.722 | Symbole 6 255.869 |  => 0.751288 => Rectangle V Empty
