numbre CCs detected (background including): 149
Component_53 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_54 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_55 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_56 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_57 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_58 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 5851.86 | Symbole 10 5814.84 | Symbole 11 5852.22 | Symbole 2 5848.2 | Symbole 3 5850.86 | Symbole 4 5853.19 | Symbole 5 5835.92 | Symbole 6 5852.76 | Symbole 7 5839.63 | Symbole 8 5857.06 | Symbole 9 4556.84 |  => 0 => Rectangle V
Component_59 =>Rectangle H 4556.84 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_60 =>Rectangle H 0 | Rectangle V 32.1782 | Symbole 1 23.4811 | Symbole 10 21.8633 | Symbole 11 24.0935 | Symbole 2 20.7406 | Symbole 3 24.0544 | Symbole 4 25.425 | Symbole 5 7.90195 | Symbole 6 25.7121 | Symbole 7 10.9922 | Symbole 8 29.0835 | Symbole 9 32.1782 |  => 0 => Rectangle H
Component_61 =>Rectangle H 32.1782 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_62 =>Rectangle H 1638.8 | Rectangle V 0 | Symbole 1 2061.68 | Symbole 10 2024.31 | Symbole 11 2062.06 | Symbole 2 2057.97 | Symbole 3 2060.84 | Symbole 4 2062.78 | Symbole 5 2045.51 | Symbole 6 2062.18 | Symbole 7 2049.49 | Symbole 8 2067.21 | Symbole 9 768.875 |  => 0 => Rectangle V
Component_63 =>Rectangle H 0 | Rectangle V 13.8092 | Symbole 1 6.06509 | Symbole 10 13.8092 | Symbole 11 6.67323 | Symbole 2 6.58904 | Symbole 3 6.63499 | Symbole 4 8.17056 | Symbole 5 13.8092 | Symbole 6 8.4435 | Symbole 7 13.8092 | Symbole 8 11.8116 | Symbole 9 13.8092 |  => 0 => Rectangle H
Component_64 =>Rectangle H 0 | Rectangle V 13.8092 | Symbole 1 6.06509 | Symbole 10 13.8092 | Symbole 11 6.67323 | Symbole 2 6.58904 | Symbole 3 6.63499 | Symbole 4 8.17056 | Symbole 5 13.8092 | Symbole 6 8.4435 | Symbole 7 13.8092 | Symbole 8 11.8116 | Symbole 9 13.8092 |  => 0 => Rectangle H
Component_65 =>Rectangle H 0 | Rectangle V 13.8092 | Symbole 1 6.06509 | Symbole 10 13.8092 | Symbole 11 6.67323 | Symbole 2 6.58904 | Symbole 3 6.63499 | Symbole 4 8.17056 | Symbole 5 13.8092 | Symbole 6 8.4435 | Symbole 7 13.8092 | Symbole 8 11.8116 | Symbole 9 13.8092 |  => 0 => Rectangle H
Component_66 =>Rectangle H 0 | Rectangle V 13.9312 | Symbole 1 6.42934 | Symbole 10 13.9312 | Symbole 11 7.04103 | Symbole 2 6.45541 | Symbole 3 7.00279 | Symbole 4 8.53053 | Symbole 5 13.9312 | Symbole 6 8.80914 | Symbole 7 13.9312 | Symbole 8 12.18 | Symbole 9 13.9312 |  => 0 => Rectangle H
Component_67 =>Rectangle H 0 | Rectangle V 23.1298 | Symbole 1 15.2207 | Symbole 10 23.1298 | Symbole 11 15.8011 | Symbole 2 12.5458 | Symbole 3 15.7618 | Symbole 4 17.3214 | Symbole 5 8.60146 | Symbole 6 17.5644 | Symbole 7 4.76557 | Symbole 8 20.913 | Symbole 9 23.1298 |  => 0 => Rectangle H
Component_68 =>Rectangle H 0 | Rectangle V 13.8092 | Symbole 1 6.06509 | Symbole 10 13.8092 | Symbole 11 6.67323 | Symbole 2 6.58904 | Symbole 3 6.63499 | Symbole 4 8.17056 | Symbole 5 13.8092 | Symbole 6 8.4435 | Symbole 7 13.8092 | Symbole 8 11.8116 | Symbole 9 13.8092 |  => 0 => Rectangle H
Component_69 =>Rectangle H 0 | Rectangle V 13.8092 | Symbole 1 6.06509 | Symbole 10 13.8092 | Symbole 11 6.67323 | Symbole 2 6.58904 | Symbole 3 6.63499 | Symbole 4 8.17056 | Symbole 5 13.8092 | Symbole 6 8.4435 | Symbole 7 13.8092 | Symbole 8 11.8116 | Symbole 9 13.8092 |  => 0 => Rectangle H
