nombre CCs detecte : 168
composant_49 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_50 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_51 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_52 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_53 =>Avion 94.8743 | Cercle 4.68379 | Demi Cercle 20.6068 | double fleche 92.3702 | fleche 39.1288 | Rectangle 3D 72.9697 | Rectangle H 3.5387 | Rectangle V 99.6245 | Rectangle V Empty 0.24962 | S 46.1883 | U 55.971 | X 19.2946 | Z 10.2708 |  => 0.24962 => Rectangle V Empty
composant_54 =>Avion 10.2708 | Cercle 1.97616 | Demi Cercle 13.574 | double fleche 55.1976 | fleche 8.09692 | Rectangle 3D 35.5442 | Rectangle H 21.034 | Rectangle V 61.05 | Rectangle V Empty 42.2187 | S 61.05 | U 61.05 | X 59.7843 | Z 33.6586 |  => 1.97616 => Cercle
composant_55 =>Avion 33.6586 | Cercle 8.50882 | Demi Cercle 8.7518 | double fleche 69.2759 | fleche 17.0048 | Rectangle 3D 51.4668 | Rectangle H 1.13128e-05 | Rectangle V 78.1537 | Rectangle V Empty 24.8359 | S 69.1879 | U 76.0633 | X 42.2102 | Z 17.2657 |  => 1.13128e-05 => Rectangle H
composant_56 =>Avion 17.2657 | Cercle 2.64806 | Demi Cercle 69.3005 | double fleche 141.581 | fleche 88.047 | Rectangle 3D 121.811 | Rectangle H 52.9629 | Rectangle V 148.587 | Rectangle V Empty 51.0464 | S 0.257047 | U 7.63826 | X 7.85529 | Z 41.0367 |  => 0.257047 => S
composant_57 =>Avion 24.9814 | Cercle 30.0993 | Demi Cercle 30.0993 | double fleche 22.2694 | fleche 30.0993 | Rectangle 3D 0.100387 | Rectangle H 30.0993 | Rectangle V 30.0993 | Rectangle V Empty 30.0993 | S 30.0993 | U 30.0993 | X 30.0993 | Z 30.0993 |  => 0.100387 => Rectangle 3D
composant_58 =>Avion 3.16219 | Cercle 8.60167 | Demi Cercle 8.60167 | double fleche 6.33101 | fleche 8.60167 | Rectangle 3D 8.60167 | Rectangle H 8.60167 | Rectangle V 8.60167 | Rectangle V Empty 8.60167 | S 8.60167 | U 8.60167 | X 8.60167 | Z 8.60167 |  => 3.16219 => classe  rejet => taille format diff
composant_59 =>Avion 8.60167 | Cercle 5.25413 | Demi Cercle 7.22819 | double fleche 57.1652 | fleche 0.288365 | Rectangle 3D 36.1184 | Rectangle H 17.2714 | Rectangle V 65.2635 | Rectangle V Empty 39.6163 | S 65.2635 | U 65.2635 | X 55.3439 | Z 30.5687 |  => 0.288365 => fleche
composant_60 =>Avion 30.5687 | Cercle 1.14903 | Demi Cercle 7.01426 | double fleche 78.6034 | fleche 25.7534 | Rectangle 3D 59.0518 | Rectangle H 7.62659 | Rectangle V 84.3489 | Rectangle V Empty 18.7362 | S 61.4511 | U 71.7183 | X 36.2216 | Z 10.1189 |  => 1.14903 => Cercle
composant_61 =>Avion 10.1189 | Cercle 1.0366 | Demi Cercle 6.74727 | double fleche 78.5376 | fleche 25.3483 | Rectangle 3D 58.666 | Rectangle H 7.4948 | Rectangle V 84.3807 | Rectangle V Empty 19.106 | S 61.7332 | U 72.1248 | X 36.4435 | Z 10.2437 |  => 1.0366 => Cercle
